Category,Functional_Group,Subclassification,Code,Additive,Reference(s)_of_Community_legal_act,Reference_in_OJ,Date_of_authorisation,Expiry_date_of_authorisation(s),Date_of_first_entry_in_the_Register
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 407,"Carrageenan [Pets and other non food producing animals (non-food fur animals)]","Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 410,Locust bean gum (Carob gum),"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 412,Guar gum,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 413,Tragacanth,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 414,Acacia (Gum arabic),"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 415,Xanthan gum,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 433,"Polyoxyethylene (20)-sorbitan monooleate","Commission Directive of 12 April 1991 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (91/248/EEC)","OJ L 124, 18.05.1991, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 460,Microcrystalline cellulose,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 461,Methylcellulose,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 462,Ethylcellulose,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 463,Hydroxypropylcellulose,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 464,Hydroxypropylmethylcellulose,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 466,"Carboxymethylcellulose (Sodium salt of carboxymethyl ether of cellulose)","Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 484,Glyceryl polyethyleneglycol ricinoleate,"Commission Directive of 12 April 1991 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (91/248/EEC)","OJ L 124, 18.05.1991, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 487,"Polyethyleneglycol ester of fatty acids from soya oil [Calves]","NINETEENTH Commission Directive of 26 July 1977 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs","OJ L 207, 13.08.1977, p. 53",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 493,Sorbitan monolaurate,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,f,Gelling agents,1f499,Cassia gum [Dogs; Cats],"Commission Implementing Regulation (EU) 2019/1947 of 22 November 2019","OJ L 304, 26.11.2019, p.7",16.12.2019,16.12.2029,07.11.05
1,,"Emulsifying and stabilizing agents, thickeners and gelling agents",E 499,Cassia gum [Dogs; Cats],"COMMISSION DIRECTIVE 93/55/EEC of 25 June 1993 amending Council Directive 70/524/EEC concerning additives in feedingstuffs","OJ L 206, 18.08.1993, p.11",-,"transitional measures in article 2 of Commission Implementing Regulation (EU) 2019/1947 of 22 November 2019",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 535,Sodium Ferrocyanide,Reg. (EC) No 1810/2005,"OJ L 291, 05.11.2005, p. 5",25.11.2005,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",16.12.05
1,,"Binders, anti-caking agents and coagulants",E 536,Potassium Ferrocyanide,Reg. (EC) No 1810/2005,"OJ L 291, 05.11.2005, p. 5",25.11.2005,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",16.12.05
1,,"Binders, anti-caking agents and coagulants",E 551a,"Silicic acid, precipitated and dried","Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 551b,Colloidal silica,"Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 551c,"Kieselgur (diatomaceous earth, purified)","Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 552,"Calcium silicate, synthetic","Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 554,"Sodium aluminosilicate, synthetic","Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 559,"Kaolinitic clays, free of asbestos","Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 560,Natural mixtures of steatites and chlorite,"Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 561,Vermiculite,"Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 562,Sepiolite,"Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 563,Sepiolitic clay,"Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 565,Lignosulphonates,"Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 566,Natrolite-phonolite,"Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,,"Binders, anti-caking agents and coagulants",E 567,"Clinoptilolite of volcanic origin [Pigs; Poultry]","Reg. (EC) No 2148/2004 of 16 December 2004 / Amended by Reg. (EC) NO 1980/2005 of 05.12.2005","OJ L 370, 17.12.2004, p. 24 / Amended by OJ L 318, 05.12.2005, p. 3",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",16.12.05
1,,"Binders, anti-caking agents and coagulants",E 566,Perlite,"Commission Regulation (EC) No 2439/1999 of 17 November 1999","OJ L 297, 18.11.1999, p. 8",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 200,Sorbic acid,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 202,Potassium sorbate,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 236,Formic acid,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 237,Sodium formate,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,1a0001,"Lactobacillus fermentum (NCIMB 41636), Lactobacillus plantarum (NCIMB 41638) and Lactobacillus rhamnosus (NCIMB 41640) [Dogs]","Commission Implementing Regulation (EU) 2017/455 of 15 March 2017","OJ L 71, 15.03.2017, p. 15",05.04.2017,05.04.2027,20.03.17
1,a,Preservatives,1a237a,Potassium diformate,"Commission Implementing Regulation (EU) No 333/2012 of 19 April 2012","OJ L 108, 20.04.2012, p. 3",11.05.2012,11.05.2022,20.04.12
1,a,Preservatives,E 238,Calcium formate,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,1j514ii,"Sodium bisulphate [All animal species other than cats and mink; Cats; Mink]","Commission Implementing Regulation (EU) 2015/1416 of 20 August 2015","OJ L 220, 21.08.2015, p.11",10.09.2015,10.09.2025,21.08.15
1,a,Preservatives,E 250,Sodium nitrite [Dogs; Cats],"Commission Directive of 11 November 1985 amending Commission Directive 85/429/EEC, amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/520/EEC)","OJ L 323, 04.12.1985, p. 12",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 260,Acetic acid,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 262,Sodium diacetate,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 263,Calcium acetate,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 270,Lactic acid,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 280,Propionic acid,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 281,Sodium propionate,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 282,Calcium propionate,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 284,Ammonium propionate,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 295,Ammonium formate,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 296,DL-Malic acid,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,1a297,"Fumaric acid [Poultry and pigs; Young animals fed with milk replacers; Other animal species]","Commission Implementing Regulation (EU) No 1078/2013 of 31 October 2013","OJ L 292, 01.11.2013, p.7",21.11.2013,21.11.2023,11.11.13
1,a,Preservatives,E 327,Calcium lactate,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,E 330,Citric acid,"Commission Directive of 8 July 1985 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (85/429/EEC)","OJ L 245, 12.09.1985, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,a,Preservatives,1a338,Orthophosphoric acid,"Commission Implementing Regulation (EU) No 1055/2013 of 25 October 2013","OJ L 288, 30.10.2013, p. 57",19.11.2013,19.11.2023,05.11.13
1,a,Preservatives,1a700,"Sodium benzoate 140 g/kg, Propionic acid 370 g/kg, Sodium propionate 110 g/kg [Pigs; Poultry; Bovines; Sheep; Goats; Rabbits; Horses]","Commission Implementing Regulation (EU) No 159/2013 of 21 February 2013","OJ L 49, 22.02.2013, p. 47",14.03.2013,14.03.2023,22.02.13
1,b,Antioxidants,3a300,Ascorbic acid,"Commission Implementing Regulation (EU) 2015/1061 of 2 July 2015","OJ L 174, 03.07.2015, p. 8",23.07.2015,23.07.2025,04.08.15
1,b,Antioxidants,1b301,Sodium ascorbate,"Commission Implementing Regulation (EU) 2015/1061 of 2 July 2015","OJ L 174, 03.07.2015, p. 8",23.07.2015,23.07.2025,04.08.15
1,b,Antioxidants,1b302,Calcium ascorbate,"Commission Implementing Regulation (EU) 2015/1061 of 2 July 2015","OJ L 174, 03.07.2015, p. 8",23.07.2015,23.07.2025,04.08.15
1,b,Antioxidants,1b304,Ascorbyl palmitate,"Commission Implementing Regulation (EU) 2015/1061 of 2 July 2015","OJ L 174, 03.07.2015, p. 8",23.07.2015,23.07.2025,04.08.15
1,b,Antioxidants,1b306(i),Tocopherol extracts from vegetable oils,"Commission Implementing Regulation (EU) 2015/1152 of 14 July 2015","OJ L 187, 15.07.2015, p. 5",04.08.2015,04.08.2025,04.08.15
1,b,Antioxidants,1b306(ii),"Tocopherol- rich extracts from vegetable oils (delta rich)","Commission Implementing Regulation (EU) 2015/1152 of 14 July 2015","OJ L 187, 15.07.2015, p. 5",04.08.2015,04.08.2025,04.08.15
1,b,Antioxidants,1b307,Alpha-tocopherol,"Commission Implementing Regulation (EU) 2015/1152 of 14 July 2015","OJ L 187, 15.07.2015, p. 5",04.08.2015,04.08.2025,04.08.15
1,b,,E 310,Propyl gallate,"Commission Directive of 12 April 1991 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (91/248/EEC)","OJ L 124, 18.05.1991, p. 1",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,b,,E 320,"Butylated hydroxyanisole (BHA) [All species or categories of animals except dogs and cats]","FIFTEENTH COMMISSION DIRECTIVE of 21 June 1976 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (91/248/EEC) / Amended by Commission Regulation (EC) No 2316/98 of 26 October 1998","OJ L 198, 23.07.1976, p. 10 / amended by OJ L 289, 28.10.1998, p. 4",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,b,,E 320,Butylated hydroxyanisole (BHA) [Dogs],"Commission Regulation (EC) No 2316/98 of 26 October 1998","OJ L 289, 28.10.1998, p. 4",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,b,,E 321,"Butylated hydroxytoluene (BHA) [All species or categories of animals except dogs and cats]","FIFTEENTH COMMISSION DIRECTIVE of 21 June 1976 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (91/248/EEC) / Amended by Commission Regulation (EC) No 2316/98 of 26 October 1998","OJ L 198, 23.07.1976, p. 10 / amended by OJ L 289, 28.10.1998, p. 4",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,b,,E 321,Butylated hydroxytoluene (BHT) [Dogs],"Commission Regulation (EC) No 2316/98 of 26 October 1998","OJ L 289, 28.10.1998, p. 4",-,"Following the provisions of Art. 10 § 2 of Reg. (EC) No 1831/2003, an application, in accordance with Article 7, has been submitted",07.11.05
1,b,,E 324,"Ethoxyquin [All species or categories of animals except dogs]","FIFTEENTH COMMISSION DIRECTIVE of 21 June 1976 amending the Annexes to Council Directive 70/524/EEC concerning additives in feedingstuffs (91/248/EEC) / Amended by Commission Regulation (EC) No 2316/98 of 26 October 1998 / AUTHORISATION SUSPENDED by Commission Implementing Regulation (EU) 2017/962 of 7 June 2017 / Corrigendum DE in OJ L 149 of 13.06.2017","OJ L 198, 23.07.1976, p. 10 / amended by OJ L 289, 28.10.1998, p. 4 AUTHORISATION SUSPENDED by OJ L 145. 08.06.2017, p. 13 / Corrigendum DE in OJ L 149, 13.06.2017, p. 99",-,"Transitional measures in article 2 of Commission Implementing Regulation (EU) 2017/962 of 7 June 2017",07.11.05
1,b,,E 324,Ethoxyquin [Dogs],"Commission Regulation (EC) No 2316/98 of 26 October 1998 / AUTHORISATION SUSPENDED by Commission Implementing Regulation (EU) 2017/962 of 7 June 2017 / Corrigendum DE in OJ L 149 of 13.06.2017","OJ L 289, 28.10.1998, p. 4 AUTHORISATI ON SUSPENDED by OJ L 145. 08.06.2017, p. 13 / Corrigendum DE in OJ L 149, 13.06.2017, p. 99",-,"Transitional measures in article 2 of Commission Implementing Regulation (EU) 2017/962 of 7 June 2017",07.11.05
1,c,Emulsifiers,1c322,Lecithins [All species],"Commission Implementing Regulation (EU) 2017/1007 of 15 June 2017 / Amended by Commission Implementing Regulation (EU) 2017/2325 of 14 December 2017","OJ L 153, 16.06.2017, p. 13 / Amended by OJ L 333, 15.12.2017, p. 17",06.07.2017,06.07.2027,21.06.17
1,c,Emulsifiers,1c322i,Lecithins [All species],"Commission Implementing Regulation (EU) 2017/2325 of 14 December 2017 / amended by Commission Implementing Regulation (EU) 2018/1980 of 13 December 2018","OJ L 333, 15.12.2017, p. 17  / amended by OJ L 317, 14.12.2018, p. 12",04.01.2018,"06.07.2027 / Transitional measures in article 2 of Commission Implementing Regulation (EU) 2018/1980 of 13 December 2018",30.01.18
1,c,Emulsifiers,1c322ii,Hydrolysed lecithins [All species],"Commission Implementing Regulation (EU) 2017/2325 of 14 December 2017 / Amended by Commission Implementing Regulation (EU) 2018/1980 of 13 December 2018","OJ L 333, 15.12.2017, p. 17 / amended by OJ L 317, 14.12.2018, p. 12",04.01.2018,"04.01.2028 / Transitional measures in article 2 of Commission Implementing Regulation (EU) 2018/1980 of 13 December 2018",30.01.18
